,brand,categories,colors,price,is_available,condition,is_sale,source,shipping,is_special_offer,is_returnable,manufacturer
8637,ASICS,clothing,grey,65.87,1,New,0,Overstock.com,No,1,0,asics
8637,ASICS,sport,blue,65.87,1,New,0,Overstock.com,No,1,0,asics
8637,ASICS,sport,grey,65.87,1,New,0,Overstock.com,No,1,0,asics
8638,Vans,shoes,pink,28.49,0,New,0,Overstock.com,No,1,0,VANS
8638,Vans,clothing,pink,28.49,0,New,0,Overstock.com,No,1,0,VANS
8639,Asics,shoes,blue,76.79,1,New,0,Overstock.com,No,1,0,ASICS
8639,Asics,shoes,silver,76.79,1,New,0,Overstock.com,No,1,0,ASICS
8639,Asics,clothing,blue,76.79,1,New,0,Overstock.com,No,1,0,ASICS
8639,Asics,clothing,silver,76.79,1,New,0,Overstock.com,No,1,0,ASICS
8640,Ellie Shoes,shoes,yellow,75.92,1,New,0,Overstock.com,No,1,0,ELLIE SHOES
8640,Ellie Shoes,clothing,yellow,75.92,1,New,0,Overstock.com,No,1,0,ELLIE SHOES
8641,Brinley Co.,shoes,brown,21.95,1,New,0,Overstock.com,Free,1,0,Brinley Co.
8641,Brinley Co.,shoes,black,21.95,1,New,0,Overstock.com,Free,1,0,Brinley Co.
8641,Brinley Co.,shoes,grey,21.95,1,New,0,Overstock.com,Free,1,0,Brinley Co.
8641,Brinley Co.,clothing,brown,21.95,1,New,0,Overstock.com,Free,1,0,Brinley Co.
8641,Brinley Co.,clothing,black,21.95,1,New,0,Overstock.com,Free,1,0,Brinley Co.
8641,Brinley Co.,clothing,grey,21.95,1,New,0,Overstock.com,Free,1,0,Brinley Co.
8642,Brinley Co.,shoes,red,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,shoes,black,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,shoes,grey,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,shoes,white,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,clothing,red,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,clothing,black,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,clothing,grey,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8642,Brinley Co.,clothing,white,34.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8643,Brinley Co.,shoes,red,21.95,1,New,0,Overstock.com,No,1,0,Brinley Co.
8643,Brinley Co.,shoes,black,21.95,1,New,0,Overstock.com,No,1,0,Brinley Co.
8643,Brinley Co.,shoes,grey,21.95,1,New,0,Overstock.com,No,1,0,Brinley Co.
8643,Brinley Co.,clothing,red,21.95,1,New,0,Overstock.com,No,1,0,Brinley Co.
8643,Brinley Co.,clothing,black,21.95,1,New,0,Overstock.com,No,1,0,Brinley Co.
8643,Brinley Co.,clothing,grey,21.95,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,shoes,red,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,shoes,blue,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,shoes,black,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,shoes,grey,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,clothing,red,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,clothing,blue,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,clothing,black,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8644,Brinley Co.,clothing,grey,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8645,Brinley Co.,shoes,red,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,shoes,black,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,shoes,beige,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,shoes,grey,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,clothing,red,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,clothing,black,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,clothing,beige,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8645,Brinley Co.,clothing,grey,22.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,shoes,red,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,shoes,black,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,shoes,beige,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,shoes,grey,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,clothing,red,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,clothing,black,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,clothing,beige,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8646,Brinley Co.,clothing,grey,29.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,shoes,red,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,shoes,black,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,shoes,beige,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,shoes,grey,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,clothing,red,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,clothing,black,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,clothing,beige,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8662,Brinley Co.,clothing,grey,32.99,1,New,0,Overstock.com,No,1,0,Journee Collection
8671,Brinley Co.,shoes,red,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,shoes,black,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,shoes,beige,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,shoes,grey,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,clothing,red,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,clothing,black,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,clothing,beige,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8671,Brinley Co.,clothing,grey,22.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8688,Brinley Co.,shoes,red,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,shoes,black,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,shoes,beige,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,shoes,grey,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,clothing,red,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,clothing,black,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,clothing,beige,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8688,Brinley Co.,clothing,grey,29.99,0,New,0,Overstock.com,No,1,0,Journee Collection
8733,Brinley Co.,shoes,red,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,shoes,black,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,shoes,beige,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,shoes,grey,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,clothing,red,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,clothing,black,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,clothing,beige,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8733,Brinley Co.,clothing,grey,29.99,1,New,0,Overstock.com,Free,1,0,Journee Collection
8761,Brinley Co.,shoes,red,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,shoes,white,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,shoes,black,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,shoes,grey,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,clothing,red,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,clothing,white,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,clothing,black,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8761,Brinley Co.,clothing,grey,21.5,1,New,0,Overstock.com,Free,1,0,Brinley Co
8763,Brinley Co.,shoes,brown,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,shoes,yellow,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,shoes,pink,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,shoes,black,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,clothing,brown,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,clothing,yellow,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,clothing,pink,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8763,Brinley Co.,clothing,black,32.99,1,New,0,Overstock.com,No,1,0,Brinley Co
8764,Pleaser,shoes,white,31.95,1,New,0,Overstock.com,No,1,0,Pleaser
8764,Pleaser,shoes,red,31.95,1,New,0,Overstock.com,No,1,0,Pleaser
8764,Pleaser,shoes,black,31.95,1,New,0,Overstock.com,No,1,0,Pleaser
8764,Pleaser,clothing,white,31.95,1,New,0,Overstock.com,No,1,0,Pleaser
8764,Pleaser,clothing,red,31.95,1,New,0,Overstock.com,No,1,0,Pleaser
8764,Pleaser,clothing,black,31.95,1,New,0,Overstock.com,No,1,0,Pleaser
8765,Funtasma,shoes,white,39.95,1,New,0,Overstock.com,No,1,0,PleaserUSA
8765,Funtasma,shoes,brown,39.95,1,New,0,Overstock.com,No,1,0,PleaserUSA
8765,Funtasma,shoes,black,39.95,1,New,0,Overstock.com,No,1,0,PleaserUSA
8765,Funtasma,clothing,white,39.95,1,New,0,Overstock.com,No,1,0,PleaserUSA
8765,Funtasma,clothing,brown,39.95,1,New,0,Overstock.com,No,1,0,PleaserUSA
8765,Funtasma,clothing,black,39.95,1,New,0,Overstock.com,No,1,0,PleaserUSA
8767,Funtasma,shoes,white,37.15,1,New,0,Overstock.com,No,1,0,PleaserUSA
8767,Funtasma,shoes,brown,37.15,1,New,0,Overstock.com,No,1,0,PleaserUSA
8767,Funtasma,clothing,white,37.15,1,New,0,Overstock.com,No,1,0,PleaserUSA
8767,Funtasma,clothing,brown,37.15,1,New,0,Overstock.com,No,1,0,PleaserUSA
8768,Bonnibel,shoes,silver,54.68,1,New,0,Overstock.com,No,1,0,Bonnibel
8768,Bonnibel,shoes,white,54.68,1,New,0,Overstock.com,No,1,0,Bonnibel
8768,Bonnibel,shoes,black,54.68,1,New,0,Overstock.com,No,1,0,Bonnibel
8768,Bonnibel,clothing,silver,54.68,1,New,0,Overstock.com,No,1,0,Bonnibel
8768,Bonnibel,clothing,white,54.68,1,New,0,Overstock.com,No,1,0,Bonnibel
8768,Bonnibel,clothing,black,54.68,1,New,0,Overstock.com,No,1,0,Bonnibel
8769,Brinley Co.,shoes,brown,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8769,Brinley Co.,clothing,brown,37.99,1,New,0,Overstock.com,No,1,0,Brinley Co.
8771,Brinley Co.,shoes,red,22.95,1,New,0,Overstock.com,No,1,0,Brinley Co
8771,Brinley Co.,shoes,blue,22.95,1,New,0,Overstock.com,No,1,0,Brinley Co
8771,Brinley Co.,shoes,black,22.95,1,New,0,Overstock.com,No,1,0,Brinley Co
8771,Brinley Co.,clothing,red,22.95,1,New,0,Overstock.com,No,1,0,Brinley Co
8771,Brinley Co.,clothing,blue,22.95,1,New,0,Overstock.com,No,1,0,Brinley Co
8771,Brinley Co.,clothing,black,22.95,1,New,0,Overstock.com,No,1,0,Brinley Co
8772,Brinley Co.,shoes,black,17.95,0,New,0,Overstock.com,No,1,0,Brinley Co
8772,Brinley Co.,clothing,black,17.95,0,New,0,Overstock.com,No,1,0,Brinley Co
8773,Funtasma,shoes,black,41.8,1,New,0,Overstock.com,No,1,0,PleaserUSA
8773,Funtasma,clothing,black,41.8,1,New,0,Overstock.com,No,1,0,PleaserUSA
8774,Alegria by PG Lite,shoes,black,120.0,0,New,0,Overstock.com,No,1,0,Alegria
8774,Alegria by PG Lite,clothing,black,120.0,0,New,0,Overstock.com,No,1,0,Alegria
8775,Dyeables,shoes,silver,46.99,1,New,0,Overstock.com,No,1,0,Dyeables
8775,Dyeables,clothing,silver,46.99,1,New,0,Overstock.com,No,1,0,Dyeables
8776,Pleaser,shoes,silver,40.87,0,New,0,Overstock.com,No,1,0,Pleaser USA
8776,Pleaser,shoes,black,40.87,0,New,0,Overstock.com,No,1,0,Pleaser USA
8776,Pleaser,shoes,red,40.87,0,New,0,Overstock.com,No,1,0,Pleaser USA
8776,Pleaser,clothing,silver,40.87,0,New,0,Overstock.com,No,1,0,Pleaser USA
8776,Pleaser,clothing,black,40.87,0,New,0,Overstock.com,No,1,0,Pleaser USA
8776,Pleaser,clothing,red,40.87,0,New,0,Overstock.com,No,1,0,Pleaser USA
8777,Alfani,shoes,beige,28.99,0,New,0,Overstock.com,No,1,0,Alfani
8777,Alfani,shoes,black,28.99,0,New,0,Overstock.com,No,1,0,Alfani
8777,Alfani,clothing,beige,28.99,0,New,0,Overstock.com,No,1,0,Alfani
8777,Alfani,clothing,black,28.99,0,New,0,Overstock.com,No,1,0,Alfani
8778,Easy Street,shoes,blue,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,shoes,black,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,shoes,white,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,shoes,pink,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,shoes,yellow,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,shoes,beige,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,clothing,blue,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,clothing,black,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,clothing,white,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,clothing,pink,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,clothing,yellow,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8778,Easy Street,clothing,beige,38.63,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,shoes,blue,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,shoes,black,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,shoes,white,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,shoes,pink,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,shoes,yellow,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,shoes,beige,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,clothing,blue,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,clothing,black,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,clothing,white,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,clothing,pink,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,clothing,yellow,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8779,Easy Street,clothing,beige,43.99,1,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,shoes,blue,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,shoes,black,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,shoes,white,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,shoes,pink,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,shoes,yellow,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,shoes,beige,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,clothing,blue,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,clothing,black,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,clothing,white,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,clothing,pink,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,clothing,yellow,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8780,Easy Street,clothing,beige,50.12,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,shoes,blue,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,shoes,black,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,shoes,white,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,shoes,pink,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,shoes,yellow,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,shoes,beige,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,clothing,blue,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,clothing,black,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,clothing,white,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,clothing,pink,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,clothing,yellow,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8781,Easy Street,clothing,beige,56.04,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,shoes,blue,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,shoes,black,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,shoes,white,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,shoes,pink,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,shoes,yellow,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,shoes,beige,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,clothing,blue,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,clothing,black,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,clothing,white,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,clothing,pink,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,clothing,yellow,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8782,Easy Street,clothing,beige,74.65,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,shoes,blue,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,shoes,black,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,shoes,white,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,shoes,pink,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,shoes,yellow,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,shoes,beige,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,clothing,blue,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,clothing,black,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,clothing,white,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,clothing,pink,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,clothing,yellow,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8784,Easy Street,clothing,beige,31.99,0,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,shoes,blue,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,shoes,black,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,shoes,white,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,shoes,pink,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,shoes,yellow,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,shoes,beige,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,clothing,blue,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,clothing,black,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,clothing,white,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,clothing,pink,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,clothing,yellow,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8785,Easy Street,clothing,beige,62.47,1,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,shoes,blue,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,shoes,black,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,shoes,white,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,shoes,pink,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,shoes,yellow,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,shoes,beige,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,clothing,blue,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,clothing,black,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,clothing,white,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,clothing,pink,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,clothing,yellow,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8786,Easy Street,clothing,beige,14.23,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,shoes,blue,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,shoes,black,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,shoes,white,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,shoes,pink,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,shoes,yellow,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,shoes,beige,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,clothing,blue,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,clothing,black,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,clothing,white,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,clothing,pink,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,clothing,yellow,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8787,Easy Street,clothing,beige,39.99,0,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,shoes,blue,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,shoes,black,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,shoes,white,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,shoes,pink,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,shoes,yellow,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,shoes,beige,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,clothing,blue,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,clothing,black,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,clothing,white,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
8788,Easy Street,clothing,pink,89.19,1,New,0,Overstock.com,No,1,0,Easy Street
